# 乖離チェック結果,00_裏込砕石工_20260401改定
# 改定前,32-4527.20250401.20250401.json,改定後,32-4527.20260401.20260401.json

【① 一致度サマリ】
実装変更(質問),2,内 TC反映(合致),1,一致度,1/2 (50%)
未カバー質問,1,過剰質問,2
計上行 増減,0,内 過剰(実装裏付けなし),0

【② 質問名 × 判定】
質問名,実装変更B,TC反映A,判定,関連TC-ID,B変更内容,A変更種別,TC側の近い列候補(乖離時)
(超低・後方バックホウ)排ガス機械の選択,あり,あり,合致,TC-001;TC-002;TC-003,選択肢テキスト変更 / 選択肢追加,TC列追加(新規軸),
代価表当り単位の選択(標準=10m3),,あり,過剰(TC独自・実装変更なし),TC-001;TC-002;TC-003,,TC選択変化,
砕石の種類,,あり,過剰(TC独自・実装変更なし),TC-001;TC-003,,TC選択変化,
資材計上区分,あり,,未カバー(実装変更がTC未反映),TC-001;TC-002;TC-003,業務ルール: 資材計上区分の切替が代価表数量に影響,,TC側に類似列なし(真の未反映の疑い)

【③ 計上行(代価表) × 判定】 ※数値は手計算一致を手動確認
計上行(S列),増減,判定
(観点),手計算一致,計算結果は手計算と一致すること(手動確認)

【④ 人作成TC 1件ごとの判定】
TC-ID,判定,改定に関係する軸(質問名),食い違い箇所
TC-001,不合致,砕石の種類;(超低・後方バックホウ)排ガス機械の選択;代価表当り単位の選択(標準=10m3),砕石の種類=過剰(実装に対応変更なし) / 代価表当り単位の選択(標準=10m3)=過剰(実装に対応変更なし)
TC-002,不合致,(超低・後方バックホウ)排ガス機械の選択;代価表当り単位の選択(標準=10m3),代価表当り単位の選択(標準=10m3)=過剰(実装に対応変更なし)
TC-003,不合致,砕石の種類;(超低・後方バックホウ)排ガス機械の選択;代価表当り単位の選択(標準=10m3),砕石の種類=過剰(実装に対応変更なし) / 代価表当り単位の選択(標準=10m3)=過剰(実装に対応変更なし)
