テストID,テスト区分,型枠・打設計上区分(固定),ブロック実質量適用区分,ブロック1個当りの実質量の選択,製作区分,10個当りのコンクリート量(割増含まず),生コンクリート小型車割増額の計上(固定),ベッド賃料の有無,施工規模による補正,形式による補正,給熱養生の有無,ブロック製作転置区分,10個当りの型枠面積,鉄筋の計上選択,鉄筋の使用種類の選択,1種類目の鉄筋径,10個当りの鉄筋数量(割増除く:1種類目),2種類目の鉄筋径,10個当りの鉄筋数量(割増除く:2種類目),3種類目の鉄筋径,4種類目の鉄筋径,5種類目の鉄筋径,吊鉄筋の計上,吊鉄筋の鉄筋径,10個当りの吊鉄筋の数量(割増除く),型枠用、コンクリート工用、製作転置用クレーン計上方法,(ラフテレーンクレーン)賃料長期割引の適用:型枠用,ラフテレーンクレーン規格(長期割引あり):型枠用,(ラフテレーンクレーン)賃料深夜割増の適用:型枠用(固定),(ラフテレーンクレーン)賃料長期割引の適用:製作転置,(ラフテレーンクレーン)賃料深夜割増の適用:製作転置(固定),ベッド賃料の数量,期待:S1,期待:S2,期待:S3,期待:S6,期待:S7,期待:S9,期待:S5,選択肢の適切さ確認,規格名計上
TC-001,差分,市場単価による計上,ブロック実質量区分(○○t超え○○t以下)を選択,2.5t以下,異形ブロック製作 (コンクリート+型枠+鉄筋),任意,計上しない,有り,施工数量50個以上,直立消波ブロック製作,有り,計上する,任意,鉄筋を使用する,4種類,10mm~13mm,任意,10mm~13mm,任意,10mm~13mm,10mm~13mm,10mm~13mm,する,10mm~13mm,任意,個別の施工として別々のクレーンを計上,長期割引あり,油圧伸縮ジブ型 25t吊(標準),深夜割増なし,長期割引あり,深夜割増なし,任意,計算結果が正しいか,,,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,"ベッド賃料の有無(選択肢追加)
・「有り」と表示されているが、外部設計と正しいか
形式による補正(選択肢追加)
・「直立消波ブロック製作」と表示されているが、外部設計と正しいか
給熱養生の有無(選択肢削除)
・「有り」と表示されているが、外部設計と正しいか
・削除された選択肢(土木:国交省(一般)・空港・農林・治山林道・防衛省(土木)・NEXCO・環境省・都市再生、土木:国交省(一般)・空港・農林・治山林道・防衛省(土木)・環境省 週休2日交替制モデル工事、土木:国交省(一般)・空港・防衛省(土木)・都市再生／現場閉所 令和6年度～、土木:国交省(一般)・空港・防衛省(土木)／交替制 令和6年度～、土木:国交省(一般)／交替制 令和7年度～、土木:国交省(一般)／現場閉所 令和7年度～、土木:国交省(港湾)・防衛省(港湾)／令和3年度～、土木:国交省(港湾)・防衛省(港湾)／令和6年度～、土木:国交省(港湾)／令和7年度～、土木:国交省(港湾)／平成30年度～令和2年度、土木:農林／交替制 令和6年度～、土木:農林／交替制 令和7年度～、土木:農林／現場閉所 令和6年度～、土木:農林／現場閉所 令和7年度～、土木:防衛省(港湾)週休2日交替制モデル工事、建築／令和6年度～、建築／平成30年度～令和5年度、補正なし)が表示されないこと
1種類目の鉄筋径(選択肢削除)
・「10mm~13mm」と表示されているが、外部設計と正しいか
・削除された選択肢(丸鋼φ13、丸鋼φ16、丸鋼φ19、丸鋼φ22、丸鋼φ25、丸鋼φ9、異形棒鋼D10、異形棒鋼D13、異形棒鋼D16、異形棒鋼D19、異形棒鋼D22、異形棒鋼D25、異形棒鋼D29)が表示されないこと
2種類目の鉄筋径(選択肢削除)
・「10mm~13mm」と表示されているが、外部設計と正しいか
・削除された選択肢(丸鋼φ13、丸鋼φ16、丸鋼φ19、丸鋼φ22、丸鋼φ25、丸鋼φ9、異形棒鋼D10、異形棒鋼D13、異形棒鋼D16、異形棒鋼D19、異形棒鋼D22、異形棒鋼D25、異形棒鋼D29)が表示されないこと
吊鉄筋の鉄筋径(選択肢削除)
・「10mm~13mm」と表示されているが、外部設計と正しいか
・削除された選択肢(φ13、φ16、φ19、φ22、φ23、φ25、φ28、φ32、φ34、φ36、φ38、φ42、φ44、φ48、φ55、φ9)が表示されないこと
3種類目の鉄筋径(選択肢削除)
・「10mm~13mm」と表示されているが、外部設計と正しいか
・削除された選択肢(丸鋼φ13、丸鋼φ16、丸鋼φ19、丸鋼φ22、丸鋼φ25、丸鋼φ9、異形棒鋼D10、異形棒鋼D13、異形棒鋼D16、異形棒鋼D19、異形棒鋼D22、異形棒鋼D25、異形棒鋼D29)が表示されないこと
4種類目の鉄筋径(選択肢削除)
・「10mm~13mm」と表示されているが、外部設計と正しいか
・削除された選択肢(丸鋼φ13、丸鋼φ16、丸鋼φ19、丸鋼φ22、丸鋼φ25、丸鋼φ9、異形棒鋼D10、異形棒鋼D13、異形棒鋼D16、異形棒鋼D19、異形棒鋼D22、異形棒鋼D25、異形棒鋼D29)が表示されないこと
5種類目の鉄筋径(選択肢削除)
・「10mm~13mm」と表示されているが、外部設計と正しいか
・削除された選択肢(丸鋼φ13、丸鋼φ16、丸鋼φ19、丸鋼φ22、丸鋼φ25、丸鋼φ9、異形棒鋼D10、異形棒鋼D13、異形棒鋼D16、異形棒鋼D19、異形棒鋼D22、異形棒鋼D25、異形棒鋼D29)が表示されないこと
ベッド賃料の数量(選択肢削除)
・ベッド賃料の数量（表示される質問）が外部設計と正しいか
・削除された選択肢(0)が表示されないこと
・追加された代価表行と数量(数率)が外部設計に沿っているか",
TC-002,差分,市場単価による計上,ブロック実質量区分(○○t超え○○t以下)を選択,2.5t以下,異形ブロック製作 (コンクリート+型枠+鉄筋),任意,計上しない,有り,施工数量50個以上,直立消波ブロック製作,無し,計上する,任意,鉄筋を使用する,4種類,10mm~13mm,任意,10mm~13mm,任意,10mm~13mm,10mm~13mm,10mm~13mm,する,10mm~13mm,任意,個別の施工として別々のクレーンを計上,長期割引あり,油圧伸縮ジブ型 25t吊(標準),深夜割増なし,長期割引あり,深夜割増なし,任意,計算結果が正しいか,,,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,計算結果が正しいか,"ベッド賃料の有無(選択肢追加)
・「有り」と表示されているが、外部設計と正しいか
形式による補正(選択肢追加)
・「直立消波ブロック製作」と表示されているが、外部設計と正しいか
給熱養生の有無(選択肢削除)
・「無し」と表示されているが、外部設計と正しいか
・削除された選択肢(土木:国交省(一般)・空港・農林・治山林道・防衛省(土木)・NEXCO・環境省・都市再生、土木:国交省(一般)・空港・農林・治山林道・防衛省(土木)・環境省 週休2日交替制モデル工事、土木:国交省(一般)・空港・防衛省(土木)・都市再生／現場閉所 令和6年度～、土木:国交省(一般)・空港・防衛省(土木)／交替制 令和6年度～、土木:国交省(一般)／交替制 令和7年度～、土木:国交省(一般)／現場閉所 令和7年度～、土木:国交省(港湾)・防衛省(港湾)／令和3年度～、土木:国交省(港湾)・防衛省(港湾)／令和6年度～、土木:国交省(港湾)／令和7年度～、土木:国交省(港湾)／平成30年度～令和2年度、土木:農林／交替制 令和6年度～、土木:農林／交替制 令和7年度～、土木:農林／現場閉所 令和6年度～、土木:農林／現場閉所 令和7年度～、土木:防衛省(港湾)週休2日交替制モデル工事、建築／令和6年度～、建築／平成30年度～令和5年度、補正なし)が表示されないこと
1種類目の鉄筋径(選択肢削除)
・「10mm~13mm」と表示されているが、外部設計と正しいか
・削除された選択肢(丸鋼φ13、丸鋼φ16、丸鋼φ19、丸鋼φ22、丸鋼φ25、丸鋼φ9、異形棒鋼D10、異形棒鋼D13、異形棒鋼D16、異形棒鋼D19、異形棒鋼D22、異形棒鋼D25、異形棒鋼D29)が表示されないこと
2種類目の鉄筋径(選択肢削除)
・「10mm~13mm」と表示されているが、外部設計と正しいか
・削除された選択肢(丸鋼φ13、丸鋼φ16、丸鋼φ19、丸鋼φ22、丸鋼φ25、丸鋼φ9、異形棒鋼D10、異形棒鋼D13、異形棒鋼D16、異形棒鋼D19、異形棒鋼D22、異形棒鋼D25、異形棒鋼D29)が表示されないこと
吊鉄筋の鉄筋径(選択肢削除)
・「10mm~13mm」と表示されているが、外部設計と正しいか
・削除された選択肢(φ13、φ16、φ19、φ22、φ23、φ25、φ28、φ32、φ34、φ36、φ38、φ42、φ44、φ48、φ55、φ9)が表示されないこと
3種類目の鉄筋径(選択肢削除)
・「10mm~13mm」と表示されているが、外部設計と正しいか
・削除された選択肢(丸鋼φ13、丸鋼φ16、丸鋼φ19、丸鋼φ22、丸鋼φ25、丸鋼φ9、異形棒鋼D10、異形棒鋼D13、異形棒鋼D16、異形棒鋼D19、異形棒鋼D22、異形棒鋼D25、異形棒鋼D29)が表示されないこと
4種類目の鉄筋径(選択肢削除)
・「10mm~13mm」と表示されているが、外部設計と正しいか
・削除された選択肢(丸鋼φ13、丸鋼φ16、丸鋼φ19、丸鋼φ22、丸鋼φ25、丸鋼φ9、異形棒鋼D10、異形棒鋼D13、異形棒鋼D16、異形棒鋼D19、異形棒鋼D22、異形棒鋼D25、異形棒鋼D29)が表示されないこと
5種類目の鉄筋径(選択肢削除)
・「10mm~13mm」と表示されているが、外部設計と正しいか
・削除された選択肢(丸鋼φ13、丸鋼φ16、丸鋼φ19、丸鋼φ22、丸鋼φ25、丸鋼φ9、異形棒鋼D10、異形棒鋼D13、異形棒鋼D16、異形棒鋼D19、異形棒鋼D22、異形棒鋼D25、異形棒鋼D29)が表示されないこと
ベッド賃料の数量(選択肢削除)
・ベッド賃料の数量（表示される質問）が外部設計と正しいか
・削除された選択肢(0)が表示されないこと
・追加された代価表行と数量(数率)が外部設計に沿っているか",
