施工単価入力基準表(G条件・自動生成プロトタイプ)
施工歩掛,土のう積工,施工単位,m2

施工区分,G1,G2,G3,G4,G5,G6
各種(条件名),作業区分,作業内容,購入土計上区分,土のう種類,資材計上区分,労務費の適用
入力条件,①小口並べ,①製作・積立,①計上する,①普通,①材料費+施工費,①山林砂防工を適用
,②側面並べ,②撤去,②計上しない,②耐候性,②施工費のみ,②普通作業員を適用

(注)
,1. G2条件で「撤去」を選択した場合は、G3条件（購入土計上区分）を入力する必要はない。
,2. G2条件で「撤去」を選択した場合は、G4条件（土のう種類）を入力する必要はない。
