テストID,テスト区分,工種区分,施工数量,期待:S1,選択肢の適切さ確認,規格名計上
TC-001,回帰,掘削,小規模(標準),2.702702702702702702702702703,"工種区分(選択肢削除)
・「掘削」と表示されているが、外部設計と正しいか
・削除された選択肢(埋戻し、床掘り、掘削積込、積込み、舗装版破砕積込)が表示されないこと",
TC-002,回帰,床掘,-,3.125,"工種区分(選択肢削除)
・「床掘」と表示されているが、外部設計と正しいか
・削除された選択肢(埋戻し、床掘り、掘削積込、積込み、舗装版破砕積込)が表示されないこと",
