施工区分/入力条件,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11
各種(条件名),混合深さ,添加剤の計上,添加剤の選択,添加剤材料の単位選択,添加剤使用量,混合用乳剤,混合用乳剤使用量,養生工,(モータグレーダ)排ガス機械の選択,(ロードローラ)排ガス機械(工種指定)選択,(振動ローラ)排ガス機械の選択
,①0.2m以下,①計上する,①セメント系,①「kg」単位の材料単価,(実数入力),①有,(実数入力),①有,①排ガス未対策型,①排ガス未対策型(旧) マカダム・10~12t,①排ガス未対策型
,②0.2mを超え0.4m以下,②計上しない,②石灰系,②「t」単位の材料単価,(ｋｇ),②無,,②無,②排ガス対策型(第1次基準値),②排ガス対策型(第1次基準値) マカダム・10~12t,②排ガス対策型(第1次基準値)
,,,,,,,,,③排ガス対策型(第2次基準値),③排ガス対策型(第2次基準値) マカダム・10t,③排ガス対策型(第2次基準値)
,,,,,,,,,④排ガス対策型(第3次基準値),④排ガス対策型(第3次基準値) マカダム・10t,④排ガス対策型(第3次基準値)
,,,,,,,,,⑤排ガス対策型(2014年規制),⑤排ガス対策型(2014年規制)(※標準) マカダム・10t,⑤排ガス対策型(2014年規制)

(注)
,1. G1条件「混合深さ」で①「0.2m以下」を選択した場合は、G11条件「(振動ローラ)排ガス機械の選択」 を入力する必要はない。
,2. G1条件「混合深さ」で②「0.2mを超え0.4m以下」を選択した場合は、G10条件「(ロードローラ)排ガス機械(工種指定)選択」 を入力する必要はない。
,3. G2条件「添加剤の計上」で②「計上しない」を選択した場合は、G3条件「添加剤の選択」・G4条件「添加剤材料の単位選択」・G5条件「添加剤使用量」 を入力する必要はない。
,4. G6条件「混合用乳剤」で②「無」を選択した場合は、G7条件「混合用乳剤使用量」 を入力する必要はない。
,5. G10条件「(ロードローラ)排ガス機械(工種指定)選択」で⑤「排ガス対策型(2014年規制)(※標準) マカダム・10t」を選択した場合は、G11条件「(振動ローラ)排ガス機械の選択」 を入力する必要はない。
