施工区分/入力条件,G1,G2,G3,G4,G5,G6,G7
各種(条件名),運転日数,クーリングタワー使用の有無,空気圧縮機規格選択,空気圧縮機延運転時間(台数分合計),クーリングタワー延運転時間(台数分合計),循環水ポンプ延運転時間(台数分合計),電力区分(空気圧縮機)
,(実数入力),①クーリングタワーあり,①29.0m3/min・50Hz,(実数入力),(実数入力),(実数入力),①低圧常時
,(日),②クーリングタワーなし,②36.0m3/min・60Hz,(h),(h),(h),②低圧臨時
,,,,,,,③高圧常時
,,,,,,,④高圧臨時

(注)
,1. G2条件「クーリングタワー使用の有無」で②「クーリングタワーなし」を選択した場合は、G5条件「クーリングタワー延運転時間(台数分合計)」・G6条件「循環水ポンプ延運転時間(台数分合計)」 を入力する必要はない。
