テストID,テスト区分,コンクリート規格,鉄筋の有無,10m当りコンクリート使用量,コンクリート打設工法,養生工の種類,(バックホウ0.8m3・クレーン付)賃料長期割引の適用,(バックホウ0.8m3)賃料長期割引の適用,選択肢の適切さ確認,規格名計上
TC-001,回帰,21-8-25(20)(普通),無し,3.0m3/10m以上3.3m3/10m以下,バックホウ(クレーン機能付)打設,一般養生・特殊養生(練炭),長期割引あり,長期割引あり,"コンクリート規格(選択肢文字修正)
・「21-8-25(20)(普通)」と表示されているが、外部設計と正しいか",-
TC-002,回帰,21-12-25(20)(普通),無し,3.0m3/10m以上3.3m3/10m以下,バックホウ(クレーン機能付)打設,一般養生・特殊養生(練炭),長期割引あり,長期割引あり,"コンクリート規格(選択肢文字修正)
・「21-12-25(20)(普通)」と表示されているが、外部設計と正しいか",-
