key,工種名,path,インスタンス数,各インスタンス最終直積,縮退発動(最終パス),最大直積,上限,所要秒,エラー
32-12835,【R1】硬化準備工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\012000\32-12835.20150401.20150401.json,1,1,,1,1000,0.13,
6154-232,【H26】埋戻;(標準的土工)(埋戻工C),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6154\000000\6154-232.20140401.20141001.json,2,16/16,,16,1000,0.63,
32-7534,公園緑地(擁壁) 割石本布積,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\007000\32-7534.19980401.19980401.json,1,32,,32,1000,0.08,
64-2402,【H18】クレイ舗装 舗装材混合,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\64\002000\64-2402.20180401.20181101.json,1,2,,2,1000,0.19,
6136-298,水栓類取付工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6136\000000\6136-298.20130401.20131001.json,1,2,,2,1000,0.04,
32-8923,【H28】〈E-2-2〉推進工機械器具損料(2),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\008000\32-8923.20180401.20180401.json,1,180,,180,1000,0.78,
6048-127,床拵工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6048\000000\6048-127.20180401.20180401.json,1,1,,1,1000,0.02,
32-12201,プライムコート(アスファルト舗装工) アスファルトスプレヤ+トラック,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\012000\32-12201.20200401.20200401.json,1,8,,8,1000,0.04,
32-29273,鋼管・既製コンクリート杭打工[中掘工],C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\029000\32-29273.20260401.20260401.json,1,172032,YES,172032,1000,2.0,
6224-507,鋼管据付調整工(人力),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6224\000000\6224-507.20130401.20131101.json,1,1,,1,1000,0.03,
32-17724,PC鋼棒碇着工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\017000\32-17724.20170401.20170401.json,1,2,,2,1000,0.03,
32-2392,標識板撤去(警戒・規制・指示・路線番号標識),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\002000\32-2392.20250401.20250401.json,1,6,,6,1000,0.34,
6439-496,(県・参考)コルゲート水路工(半円),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6439\000000\6439-496.20220401.20230401.json,1,18,,18,1000,0.08,
5968-3,コンクリート人力打設,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5968\000000\5968-3.20190401.20191001.json,1,1,,1,1000,0.03,
5771-1118,下層路盤工 グレーダ-敷均し 再生t=18cm 排ガス対策,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5771\001000\5771-1118.20140401.20140501.json,1,1,,1,1000,0.02,
32-12326,監査廊・堤内仮排水路(全階段)支保材料費,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\012000\32-12326.20170401.20170401.json,1,1,,1,1000,0.02,
64-1131,【H26】植樹【積上方式】,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\64\001000\64-1131.20180401.20181001.json,1,2,,2,1000,0.06,
32-12370,コンクリート運搬(ダンプトラック),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\012000\32-12370.20210401.20210401.json,1,6,,6,1000,0.26,
64-1388,【H26】路盤工(車道)(粗粒材)【積上方式】,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\64\001000\64-1388.20180401.20181001.json,2,1152/4608,YES,4608,1000,1.42,
5920-264,配水池清掃工(内訳),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5920\000000\5920-264.20170401.20170701.json,1,1,,1,1000,0.03,
32-1369,【R6】既設部材撤去工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\001000\32-1369.20170401.20170401.json,1,1,,1,1000,0.03,
32-2387,添架式標識板取付金具設置(信号アーム・照明柱・既設標識柱・歩道橋)(市場単価),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\002000\32-2387.20250401.20250401.json,1,24,,24,1000,0.57,
5953-64,地拵 ,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5953\000000\5953-64.20240401.20240815.json,1,4,,4,1000,0.1,
64-1479,【H26】バックホウ掘削積込、バックホウ積込、バックホウ床掘【積上方式】,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\64\001000\64-1479.20180401.20181001.json,1,6,,6,1000,0.76,
5937-106,軽量鋼矢板引抜工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5937\000000\5937-106.20200401.20201020.json,1,1,,1,1000,0.03,
6368-236,コンクリートミキサー船拘束,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6368\000000\6368-236.20250401.20251001.json,2,42/84,,84,1000,0.32,
32-8206,〈D-200-1〉防音パネル工(防音壁),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\008000\32-8206.20180401.20180401.json,1,4096,YES,4096,1000,0.11,
32-783,仮設用モルタル吹付工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\000000\32-783.20250401.20250401.json,1,192,,192,1000,0.61,
32-7404,総合・公園(除草、集草、積込・運搬),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\007000\32-7404.20130401.20130401.json,1,1,,1,1000,0.02,
6075-94,運転費,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6075\000000\6075-94.20250401.20251101.json,1,5,,5,1000,0.03,
32-3182,管水路基礎岩盤整形工(基面),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\003000\32-3182.20170401.20170401.json,1,1,,1,1000,0.02,
5928-654,施肥,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5928\000000\5928-654.20170401.20171001.json,1,4,,4,1000,0.02,
5776-218,岩盤清掃,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5776\000000\5776-218.20060401.20061001.json,2,1/2,,2,1000,0.03,
5928-1221,【H29.10】擬木階段工 KD-G200,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5928\001000\5928-1221.20160401.20170101.json,1,1,,1,1000,0.02,
32-2218,潜水士船,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\002000\32-2218.20240401.20240401.json,1,1080,YES,1080,1000,1.25,
38-600,〈G-2〉円形覆工板撤去工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\38\000000\38-600.20200401.20200401.json,1,1,,1,1000,0.02,
32-4623,木柵工(A)、木柵工(B)、木柵工(C)、木柵工(D)、木柵工(E),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\004000\32-4623.20220401.20220401.json,1,80,,80,1000,0.26,
32-29501,モノレール架設・撤去,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\029000\32-29501.20240401.20240801.json,1,32,,32,1000,0.09,
224-1676,クレーン付台船(借上) 運転,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\224\001000\224-1676.20260401.20260401.json,1,12,,12,1000,0.24,
6339-376,【福岡市】【H23】試掘舗装工(機械),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6339\000000\6339-376.20180401.20181001.json,1,28,,28,1000,0.12,
160-59,「剪定材等」処理費(t当たり),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\160\000000\160-59.20250401.20260701.json,2,1/2,,2,1000,0.06,
32-10359,鏡切り工(2),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\010000\32-10359.20050401.20050401.json,1,1,,1,1000,0.03,
6439-130,(県・参考)クローラ式アースオーガ,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6439\000000\6439-130.20180401.20181001.json,1,4,,4,1000,0.05,
5712-833,災害支援システム対応不可,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5712\000000\5712-833.20230401.20231001.json,1,1,,1,1000,0.05,
32-1242,しゃ音板・透光板(材料費),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\001000\32-1242.20260401.20260401.json,1,16,,16,1000,0.04,
6419-43,【H21】道路標識設置,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6419\000000\6419-43.20180401.20181001.json,1,2,,2,1000,0.02,
32-15594,【H24】樹体の洗浄,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\015000\32-15594.20120401.20120401.json,2,4/8,,8,1000,0.04,
6348-57,【福岡市】本管用TVカメラ車運転費,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6348\000000\6348-57.20170401.20171001.json,1,1,,1,1000,0.02,
5760-38,本数調整伐,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5760\000000\5760-38.20170401.20171001.json,1,1,,1,1000,0.03,
6339-350,【福岡市】【H23】フィルター材敷設工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6339\000000\6339-350.20180401.20181001.json,1,3,,3,1000,0.02,
32-13413,【R1】B-3  補修機運転工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\013000\32-13413.20200401.20210401.json,1,1,,1,1000,0.02,
5928-1898,管据付費,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5928\001000\5928-1898.20240401.20241001.json,1,2,,2,1000,0.03,
224-1607,所見(波浪観測装置),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\224\001000\224-1607.20170401.20170401.json,1,1,,1,1000,0.02,
160-2299,中層混合処理機運転(供用日),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\160\002000\160-2299.20190401.20200401.json,1,1,,1,1000,0.02,
5950-26,鉄筋工[市場単価](太径鉄筋含む)(加工・組立),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5950\000000\5950-26.20200401.20210720.json,1,88,,88,1000,3.44,
160-537,インターロッキングブロック設置工(市場単価),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\160\000000\160-537.20250401.20260601.json,1,16,,16,1000,0.22,
