key,工種名,path,インスタンス数,各インスタンス最終直積,縮退発動(最終パス),最大直積,上限,所要秒,エラー
32-15355,保管場所地下水調査(高線量区間),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\015000\32-15355.20120401.20120401.json,1,8,,8,1000,0.06,
6417-16,丸太筋工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6417\000000\6417-16.20240401.20250401.json,1,24,,24,1000,0.1,
64-2881,【H20】場所打杭鉄筋加工組立,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\64\002000\64-2881.20180401.20181101.json,1,8,,8,1000,0.05,
224-196,グラウンドデータ作成,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\224\000000\224-196.20260401.20260401.json,1,1,,1,1000,0.03,
6353-196,下刈歩掛(全刈り(1回刈り及び2回刈り)),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6353\000000\6353-196.20240401.20240730.json,1,3,,3,1000,0.05,
32-7649,〈D-5-1〉硬質塩化ビニル管○○mm布設工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\007000\32-7649.20250401.20250401.json,1,128,,128,1000,1.1,
32-10662,硬質塩化ビニル管挿入工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\010000\32-10662.20120401.20120401.json,1,6,,6,1000,0.04,
32-5784,ラフテレーンクレーン 運転,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\005000\32-5784.20230401.20230401.json,1,4,,4,1000,0.09,
32-10701,濁水処理設備運転,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\010000\32-10701.20260401.20260401.json,1,2,,2,1000,0.03,
5771-1348,アルミ矢板工 0.80バックホウ 掘削深2.0m以下 排ガス対策,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5771\001000\5771-1348.20140401.20140501.json,1,1,,1,1000,0.03,
160-820,照明灯柱基礎工(公園),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\160\000000\160-820.20250401.20260601.json,1,1,,1,1000,0.05,
224-2786,(個別)中継端子盤,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\224\002000\224-2786.20200401.20201101.json,1,1,,1,1000,0.04,
5712-449,ポリ塩ビ伸縮継手取付(材料費含む),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5712\000000\5712-449.20170401.20170401.json,1,6,,6,1000,0.05,
64-772,【H26】人力小運搬費(諸材料)小車運搬【積上方式】,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\64\000000\64-772.20180401.20181001.json,1,6,,6,1000,0.16,
5950-32,ほ場整地工((表土扱い)、(基盤造成・畦畔築立)) 0.3ha未満 BH施工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5950\000000\5950-32.20250401.20251020.json,1,18,,18,1000,0.5,
32-20792,機械器具損料,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\020000\32-20792.20240401.20240401.json,1,3,,3,1000,0.14,
224-713,【H22】照査,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\224\000000\224-713.20100401.20100401.json,1,1,,1,1000,0.05,
5809-42,【H23.10】鉄筋コンクリート管布設工(人力),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5809\000000\5809-42.20180401.20180701.json,1,1,,1,1000,0.05,
6074-691,ポリスリーブ材料費(継手用),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6074\000000\6074-691.20200401.20200801.json,1,1,,1,1000,0.08,
32-7712,【R6】------------- 削孔消耗材料費(二重管ストレーナ工法),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\007000\32-7712.20240401.20240401.json,1,3,,3,1000,0.37,
5712-850,概算工事費算出,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5712\000000\5712-850.20220401.20230401.json,1,1,,1,1000,0.05,
6256-60,【H29.5】芝工(耳芝),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6256\000000\6256-60.20170401.20171001.json,1,8,,8,1000,0.06,
224-579,【H22】土地調書作成,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\224\000000\224-579.20100401.20100401.json,2,8/16,,16,1000,0.17,
32-11459,振動ローラ,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\011000\32-11459.20180401.20180401.json,1,12960,YES,12960,1000,9.08,
224-2449,事前協議,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\224\002000\224-2449.20190401.20190401.json,1,1,,1,1000,0.03,
32-21796,下地処理工(地覆部),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\021000\32-21796.20210401.20210401.json,1,1,,1,1000,0.04,
6074-705,浚せつ(管渠)1,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6074\000000\6074-705.20210401.20211001.json,1,1,,1,1000,0.04,
32-7219,【H30】伸縮目地(杉板材),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\007000\32-7219.20180401.20180401.json,1,4,,4,1000,0.04,
5921-43,鋼製筋工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5921\000000\5921-43.20250401.20250701.json,1,1,,1,1000,0.03,
32-14156,端子接続,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\014000\32-14156.20260401.20260401.json,2,2/2,,2,1000,0.06,
32-13996,整理清掃後片付け(内部改修),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\013000\32-13996.20260401.20260401.json,2,1/1,,1,1000,0.05,
6129-80,引抜工事費,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6129\000000\6129-80.20170401.20170401.json,1,1,,1,1000,0.1,
5928-700,公園緑地緊急出勤,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5928\000000\5928-700.20230401.20230701.json,1,1,,1,1000,0.04,
32-16236,【H23】材料費(マイティーネット),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\016000\32-16236.20110401.20110801.json,1,1,,1,1000,0.23,
64-927,【H26】ロータリ除雪車(小型・102kW以下)+アタッチメント,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\64\000000\64-927.20180401.20181001.json,1,13824,YES,13824,1000,2.01,
7311-11,【福岡市】【H23】一次注入工(二重管ダブルパッカー工法),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\7311\000000\7311-11.20170401.20171001.json,1,1,,1,1000,0.04,
5924-37,水準基標測量,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5924\000000\5924-37.20250401.20250701.json,1,4,,4,1000,0.09,
32-19546,〈D-8-2〉掘進機等据付工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\019000\32-19546.20180401.20180401.json,1,1,,1,1000,0.05,
32-13226,【H21】B-4 機械器具損料(2)(下地処理工・はつり工),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\013000\32-13226.20150401.20150401.json,1,1,,1,1000,0.06,
32-10122,立坑基礎,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\010000\32-10122.20050401.20050401.json,1,4,,4,1000,0.05,
32-5675,えい航費:運転費,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\005000\32-5675.20260401.20260401.json,0,,,,1000,0.17,InvalidOperation: [<class 'decimal.ConversionSyntax'>]
160-1286,横形バタフライ弁室頂版築造,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\160\001000\160-1286.20180401.20181001.json,2,1/3,,3,1000,0.08,
32-12382,コア材料採取運搬,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\012000\32-12382.20220401.20220401.json,1,864,,864,1000,5.72,
224-766,【H22】逆T式擁壁詳細設計,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\224\000000\224-766.20100401.20100401.json,1,24,,24,1000,0.14,
5770-45,逆止弁取付工(PP用),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5770\000000\5770-45.20230401.20230401.json,1,1,,1,1000,0.03,
224-3027,(個別)無停電電源装置(触媒栓付),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\224\003000\224-3027.20200401.20201101.json,1,2,,2,1000,0.06,
5771-1689,人孔底部工 3号人孔 再生0～40 小車小運搬 鋼製型枠,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5771\001000\5771-1689.20140401.20140501.json,1,1,,1,1000,0.03,
32-12921,【R1】---- 取付管口穿孔工(箇所当り),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\012000\32-12921.20150401.20150401.json,1,2,,2,1000,0.08,
5936-276,【H30】杭・簀等小運搬(人力),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5936\000000\5936-276.20170401.20171001.json,1,60,,60,1000,0.58,
6129-38,水替工(弁室清掃),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6129\000000\6129-38.20210401.20210901.json,1,1,,1,1000,0.04,
6268-73,廃材の回収・積込(標準単価),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6268\000000\6268-73.20240401.20241001.json,1,2,,2,1000,0.39,
32-14275,鋳鉄製放熱器,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\014000\32-14275.20240401.20240401.json,2,4/4,,4,1000,0.1,
5776-167,補強土壁工(壁面材組立・設置),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5776\000000\5776-167.20060401.20061001.json,1,4,,4,1000,0.07,
160-948,波柵工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\160\000000\160-948.20140401.20140801.json,1,4,,4,1000,0.06,
32-15039,自然環境等調査,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\015000\32-15039.20150401.20150401.json,1,8,,8,1000,0.46,
5928-296,切削As廃材直接運搬,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5928\000000\5928-296.20220401.20220701.json,1,1,,1,1000,0.06,
32-11214,【H27】杉板による目地板設置,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\011000\32-11214.20170401.20170401.json,1,4,,4,1000,0.06,
6074-434,鉄管布設工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6074\000000\6074-434.20220401.20220801.json,1,48,,48,1000,1.09,
160-1441,歩道車乗入れ部用コンクリート舗装費,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\160\001000\160-1441.20210401.20211201.json,1,2,,2,1000,0.07,
32-14911,ボーリング調査 地質断面図作成,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\014000\32-14911.20150401.20150401.json,1,2,,2,1000,0.05,
224-1680,交通船(借上) 運転,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\224\001000\224-1680.20260401.20260401.json,1,2,,2,1000,0.18,
5928-1120,【H25.10】As表層工 40B再生開粒度,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5928\001000\5928-1120.20170401.20180401.json,1,1,,1,1000,0.09,
6074-211,テーブル,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6074\000000\6074-211.20230401.20231001.json,1,2,,2,1000,0.04,
32-28026,放流警報監視局装置調整(局増設),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\028000\32-28026.20230401.20230401.json,1,1,,1,1000,0.04,
6144-483,掘削(砂防)(ICT)保守点検,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6144\000000\6144-483.20200401.20210701.json,1,1,,1,1000,0.1,
32-12744,【R1】B-3 バイパス管設置工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\012000\32-12744.20150401.20150401.json,1,96,,96,1000,0.14,
32-1689,材料費(グレーチング床版),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\001000\32-1689.20180401.20180401.json,1,3,,3,1000,0.04,
160-446,フェンス基礎ブロック,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\160\000000\160-446.20230401.20231001.json,1,1,,1,1000,0.03,
6074-62,U形側溝(180),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6074\000000\6074-62.20170401.20180501.json,1,4,,4,1000,0.07,
32-3492,圧送管組立・撤去,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\003000\32-3492.20200401.20200401.json,1,4,,4,1000,0.99,
32-11779,標準機械器具 一式,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\011000\32-11779.20250401.20250401.json,1,8,,8,1000,0.41,
224-2120,地上埋設(上面舗装),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\224\002000\224-2120.20260401.20260401.json,1,64,,64,1000,0.29,
32-10368,掘削添加材注入工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\010000\32-10368.20050401.20050401.json,1,288,,288,1000,2.7,
5936-88,【H25】特殊木造構造物,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5936\000000\5936-88.20180401.20181001.json,2,1/2,,2,1000,0.07,
224-311,(PC)単純中空床版橋(10~35m),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\224\000000\224-311.20180401.20180401.json,1,8,,8,1000,0.17,
32-4586,練石積工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\004000\32-4586.20250401.20250401.json,2,32/256,,256,1000,3.56,
32-7901,〈D-59-2〉送泥ポンプ据付撤去工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\007000\32-7901.20180401.20180401.json,1,1,,1,1000,0.06,
32-875,【H25】機械除草 ハンドガイド式,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\000000\32-875.20180401.20180401.json,1,2,,2,1000,0.07,
5712-375,【H26】管路土留工 木矢板(1)(あて矢板)/パイプサポート使用,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5712\000000\5712-375.20180401.20180401.json,1,3,,3,1000,0.07,
6128-465,【R2】抽出した箇所の現地確認(現地調査),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6128\000000\6128-465.20200401.20200801.json,1,1,,1,1000,0.05,
64-2517,盛土敷均し・締固め合成作業:ブルドーザ,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\64\002000\64-2517.20250401.20251101.json,1,6,,6,1000,1.02,
32-15308,【H24】作業員輸送費,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\015000\32-15308.20170401.20170401.json,1,1,,1,1000,0.1,
32-176,【H25】人肩運搬(積込み~運搬~取卸し) 土・石【積上方式】,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\000000\32-176.20180401.20180401.json,1,15,,15,1000,3.16,
5888-172,サドル分水栓据付,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5888\000000\5888-172.20200401.20200401.json,1,1,,1,1000,0.05,
32-16727,【H23】ディストリビュータ〈乳剤散布機〉,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\016000\32-16727.20180401.20180401.json,1,144,,144,1000,4.36,
5924-64,境界点間測量,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5924\000000\5924-64.20260401.20260701.json,1,32,,32,1000,0.56,
5771-718,発生土運搬工 下水道用(2t車 0.28m3BH 軟岩 14.0km以下 DID無),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5771\000000\5771-718.20140401.20140501.json,1,1,,1,1000,0.03,
32-4758,帯梢採取,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\004000\32-4758.20220401.20220401.json,1,1,,1,1000,0.06,
32-21736,ケーブルクレーン架設・撤去,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\021000\32-21736.20260401.20260401.json,1,122880,YES,122880,1000,3.41,
160-13,舗装版取りこわし工(大型ブレーカ)【積上方式】,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\160\000000\160-13.20180401.20180801.json,1,1,,1,1000,0.04,
38-820,〈C-13-1〉立坑内仮設階段,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\38\000000\38-820.20200401.20200401.json,1,1,,1,1000,0.04,
224-1625,風向・風速年間整理,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\224\001000\224-1625.20170401.20170401.json,1,1,,1,1000,0.04,
224-1937,沈でん池(傾斜板式)設計,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\224\001000\224-1937.20250401.20250401.json,1,4,,4,1000,2.55,
32-15206,底質の除去等(土のう袋への袋詰め),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\015000\32-15206.20210401.20210401.json,1,2,,2,1000,0.07,
160-1416,三重管工法(注入),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\160\001000\160-1416.20230401.20231001.json,1,2,,2,1000,0.06,
32-10146,機械器具損料(送排泥設備),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\010000\32-10146.20050401.20050401.json,1,18,,18,1000,0.33,
5712-118,照明灯用 土留工設置・撤去,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5712\000000\5712-118.20170401.20171001.json,1,3,,3,1000,0.06,
32-16855,一般規模機械構造物掘削(現場処理または他所流用),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\016000\32-16855.20200401.20200401.json,1,216,,216,1000,1.15,
32-7783,【H22】〈(B-51)〉舗装撤去工(参考・協会),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\007000\32-7783.20180401.20180401.json,1,4,,4,1000,0.05,
38-809,〈E-4〉トラック運転費,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\38\000000\38-809.20200401.20200401.json,1,1,,1,1000,0.04,
32-5453,【H20】(参考)ドロス,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\005000\32-5453.20180401.20180401.json,2,96/384,,384,1000,4.05,
5856-246,掘取,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5856\000000\5856-246.20180401.20181001.json,1,36,,36,1000,0.28,
5771-410,発生土運搬工(10t車 0.8m3BH 硬岩 4.0km以下 DID無),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5771\000000\5771-410.20140401.20140501.json,1,1,,1,1000,0.04,
5920-27,【H25】モルタル練工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5920\000000\5920-27.20180401.20180701.json,1,1,,1,1000,0.05,
5771-1030,殻運搬工 4t車 As殻 0.28バックホウ 60.0km以下 DID有,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5771\001000\5771-1030.20140401.20140501.json,1,1,,1,1000,0.03,
5928-549,【H23.11】傾斜木・倒木復旧 機械・幹周241～255cm,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5928\000000\5928-549.20160401.20161001.json,1,1,,1,1000,0.03,
64-2339,フェンス延架線,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\64\002000\64-2339.20180401.20181101.json,1,3,,3,1000,0.05,
6439-24,【旧】※単独使用無(県・参考)振動ローラ締固め,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6439\000000\6439-24.20180401.20181001.json,2,2/4,,4,1000,0.15,
32-14699,総合検討及び基本方針の策定,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\014000\32-14699.20170401.20170401.json,1,1,,1,1000,0.05,
6074-31,すきとり,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6074\000000\6074-31.20170401.20170601.json,1,6,,6,1000,0.07,
32-6024,(参考歩掛)灯浮標及び標識灯,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\006000\32-6024.20230401.20230401.json,1,1,,1,1000,0.05,
32-12560,D-153-1 本管口仕上工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\012000\32-12560.20250401.20250401.json,1,2,,2,1000,0.1,
32-27400,【R7】防水工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\027000\32-27400.20230401.20230401.json,1,24,,24,1000,0.14,
6439-116,(県・参考)ガードケーブル設置・撤去工(機械施工),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6439\000000\6439-116.20220401.20221001.json,1,1,,1,1000,0.04,
64-1821,【H27】構造計算(サイフォン工設計),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\64\001000\64-1821.20170401.20171001.json,1,1,,1,1000,0.03,
5856-279,木製ブロック積(T-1030),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5856\000000\5856-279.20180401.20181001.json,1,3,,3,1000,0.05,
32-7473,芝生管理工 目土掛け,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\007000\32-7473.20160401.20160401.json,1,4,,4,1000,0.05,
5928-1479,充填工(m3)〈エアモルタル、エアミルク、流動化充填材〉,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5928\001000\5928-1479.20200401.20200801.json,1,12,,12,1000,0.18,
64-3104,柳挿木,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\64\003000\64-3104.20180401.20181101.json,1,1,,1,1000,0.04,
5712-308,【R3】D'-3-1-2 注入設備据付・解体工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5712\000000\5712-308.20170401.20171001.json,2,1/2,,2,1000,0.09,
5771-1665,人孔底部工 2号人孔 再生0～40 均し型枠,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5771\001000\5771-1665.20140401.20140501.json,1,1,,1,1000,0.03,
32-15570,【H24】仮置き搬出作業 リター除去,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\015000\32-15570.20120401.20120401.json,1,1,,1,1000,0.04,
32-9644,【H25】〈C-107〉換気設備,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\009000\32-9644.20130401.20130401.json,1,1,,1,1000,0.04,
32-12113,硬質塩化ビニル板製矩形ダクト(ビニル・B)(高圧2ダクト、1000(Pa)～1500(Pa)以下),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\012000\32-12113.20260401.20260401.json,1,320,,320,1000,1.16,
32-4427,中詰植生土のう設置,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\004000\32-4427.20180401.20180401.json,2,6/24,,24,1000,0.32,
6075-273,【H24】自動サイホン取替工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6075\000000\6075-273.20160401.20170101.json,1,1,,1,1000,0.03,
32-7268,捨土の人力による敷均し,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\007000\32-7268.20130401.20130401.json,1,1,,1,1000,0.03,
6096-93,一筆排水口,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6096\000000\6096-93.20170401.20171001.json,1,2,,2,1000,0.05,
6339-304,【福岡市】【H23】残土運搬工(機械積込)(一般用) ダンプ2t、積込:バックホウ山積0.13m3(平積0.1m3),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6339\000000\6339-304.20180401.20181001.json,1,120,,120,1000,1.38,
32-2445,支柱設置(ｍ当り)(支柱補修)(市場単価),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\002000\32-2445.20250401.20250401.json,1,4,,4,1000,0.59,
32-5302,鋼製枠組足場架払(市場単価+クレーン),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\005000\32-5302.20260401.20260401.json,1,16,,16,1000,0.19,
5809-8,【H29】用地境界プレート設置(福島県規格),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5809\000000\5809-8.20180401.20180701.json,1,1,,1,1000,0.11,
6128-180,【H25】事後調査(事前調査なし)(直接原価のみ 　：共通・現場・一般対象),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6128\000000\6128-180.20170401.20170801.json,1,12,,12,1000,0.63,
5771-1502,コンクリート基礎工360°HP-250 CP-250 レミコン18-8-40 再生0-40mm 小車小運搬,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5771\001000\5771-1502.20140401.20140501.json,1,1,,1,1000,0.03,
32-12041,部品費,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\012000\32-12041.20170401.20170401.json,1,1,,1,1000,0.03,
224-732,【H22】報告書作成,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\224\000000\224-732.20100401.20100401.json,1,14,,14,1000,0.06,
64-1066,【H26】アスファルトフィニッシャ,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\64\001000\64-1066.20180401.20181001.json,1,38880,YES,38880,1000,4.87,
32-1328,舗装版切断,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\001000\32-1328.20260401.20260401.json,1,9,,9,1000,0.22,
6288-56,舗装切断に伴う汚泥運搬処理,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6288\000000\6288-56.20200401.20201001.json,1,20,,20,1000,0.15,
32-11796,機器単体費,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\011000\32-11796.20230401.20230401.json,1,1,,1,1000,0.03,
32-7064,【H24】砂篩機,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\007000\32-7064.20180401.20180401.json,2,2/2,,2,1000,0.06,
32-17583,【H26】ガードレールB (種別A、B、C、Am、Bm以外のガードレール(A-2E、Am-4E(D)、Am-Mo、Am-Mo(D)は含む)),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\017000\32-17583.20180401.20180401.json,1,4,,4,1000,0.44,
6154-445,モルタル練(配合1:2),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6154\000000\6154-445.20250401.20251001.json,1,2,,2,1000,0.04,
38-253,〈B-2〉仮設備工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\38\000000\38-253.20200401.20200401.json,1,64,,64,1000,0.16,
32-4985,ドリルジャンボ,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\004000\32-4985.20220401.20220401.json,1,2592,YES,2592,1000,3.8,
160-93,【R5】コンクリート構造物基礎工(人力投入),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\160\000000\160-93.20180401.20180801.json,1,6,,6,1000,0.05,
32-7553,公園緑地(排水) 人孔据付工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\007000\32-7553.19980401.19980401.json,1,3,,3,1000,0.07,
6074-94,板柵(道路),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6074\000000\6074-94.20170401.20170601.json,1,6,,6,1000,0.22,
32-7070,一般区間,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\007000\32-7070.20240401.20240401.json,1,4,,4,1000,0.15,
38-80,〈C-23〉排土貯留槽設置撤去,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\38\000000\38-80.20200401.20200401.json,1,6,,6,1000,0.19,
32-21772,統合型IP電話交換設備調整,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\021000\32-21772.20210401.20210401.json,1,1,,1,1000,0.04,
32-10370,掘削添加材,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\010000\32-10370.20050401.20050401.json,1,6,,6,1000,0.07,
5728-174,【R2.04】D-100-19 Vカット工 φ800以上1500未満 カット深さ5cm,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5728\000000\5728-174.20200401.20201001.json,1,1,,1,1000,0.04,
6304-245,支障木処理費(ヒノキ),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6304\000000\6304-245.20230401.20230701.json,1,1,,1,1000,0.04,
