テストID,テスト区分,岩区分,設計掘削断面積,切羽監視責任者の有無,鏡吹付工施工の有無,吹付プラント設備,(ドリルジャンボ)排ガス機械の選択,(大型ブレーカ)排ガス機械の選択,(ホイールローダ)排ガス機械の選択,(コンクリート吹付機)排ガス機械の選択,ロックボルトの計上区分,ダンプトラックによるずり運搬の計上区分,集塵機の計上区分,期待:S11,期待:S1,期待:S2,期待:S3,期待:S4,期待:S5,期待:S6,期待:S7,期待:S8,選択肢の適切さ確認,規格名計上
TC-001,差分,B,断面積35m2,無,無,一括練混ぜ,排ガス対策型(第3次基準値),排ガス対策型(第3次基準値),排ガス対策型(2014年規制),排ガス対策型(第1次基準値),計上する,計上する,計上する,0,0.3,1.2,0.3,0.026,0.033,0.026,0.061,0.024,"(ドリルジャンボ)排ガス機械の選択(選択肢追加)
・「排ガス対策型(第3次基準値)」と表示されているが、外部設計と正しいか
(ホイールローダ)排ガス機械の選択(選択肢追加)
・「排ガス対策型(2014年規制)」と表示されているが、外部設計と正しいか
(コンクリート吹付機)排ガス機械の選択(2026年新規追加)
・「排ガス対策型(第1次基準値)」と表示されているが、外部設計と正しいか
(大型ブレーカ)排ガス機械の選択(初期値変更)
・「排ガス対策型(第3次基準値)」と表示されているが、外部設計と正しいか(初期値の変更)",-
TC-002,差分,B,断面積35m2,無,無,一括練混ぜ,排ガス対策型(第3次基準値),排ガス対策型(第3次基準値),排ガス対策型(2014年規制),排ガス対策型(第2次基準値),計上する,計上する,計上する,0,0.3,1.2,0.3,0.026,0.033,0.026,0.061,0.024,"(ドリルジャンボ)排ガス機械の選択(選択肢追加)
・「排ガス対策型(第3次基準値)」と表示されているが、外部設計と正しいか
(ホイールローダ)排ガス機械の選択(選択肢追加)
・「排ガス対策型(2014年規制)」と表示されているが、外部設計と正しいか
(コンクリート吹付機)排ガス機械の選択(2026年新規追加)
・「排ガス対策型(第2次基準値)」と表示されているが、外部設計と正しいか
(大型ブレーカ)排ガス機械の選択(初期値変更)
・「排ガス対策型(第3次基準値)」と表示されているが、外部設計と正しいか(初期値の変更)",-
