軸ID,軸名,種別,SitsumonNo,列ラベル,変更理由,備考,強制行ID
AX-001,薬剤の単位,vary,2,薬剤の単位,新規工種:全選択肢網羅,SitsumonKind=19,
AX-002,1kg当り薬剤数量,fix,3,1kg当り薬剤数量,,SitsumonKind=17,
