テストID,テスト区分,混合深さ,添加剤の計上(固定),添加剤の選択(固定),添加剤材料の単位選択,添加剤使用量,混合用乳剤,混合用乳剤使用量,養生工,(スタビライザ)排ガス機械の選択,(モータグレーダ)排ガス機械の選択,(ロードローラ)排ガス機械(工種指定)選択,(タイヤローラ)排ガス機械の選択,(振動ローラ)排ガス機械の選択,期待:S1,期待:S2,期待:S3,期待:S4,期待:S5,期待:S6,期待:S7,期待:S9,期待:S10,期待:S11,選択肢の適切さ確認,規格名計上
TC-001,差分,0.2m以下,計上する,セメント系,「kg」単位の材料単価,任意,有,任意,27,排ガス対策型(第3次基準値),排ガス対策型(2014年規制),排ガス対策型(2014年規制)(※標準) マカダム・10t,排ガス対策型(2014年規制),-,0.1428571428571428571428571429,0.4285714285714285714285714287,0.1428571428571428571428571429,0.1428571428571428571428571429,0.1428571428571428571428571429,0.1428571428571428571428571429,0.1428571428571428571428571429,計算結果が正しいか,0.1428571428571428571428571429,,"混合深さ(選択肢文字修正)
・「0.2m以下」と表示されているが、外部設計と正しいか
・文字修正後の選択肢を選んだとき、代価行・数量・単価が積算基準および設計書どおりであること（文字だけの修正か、内容の変更かを確認）
養生工(選択肢文字修正)
・「27」と表示されているが、外部設計と正しいか
・文字修正後の選択肢を選んだとき、代価行・数量・単価が積算基準および設計書どおりであること（文字だけの修正か、内容の変更かを確認）
(スタビライザ)排ガス機械の選択(選択肢文字修正)
・「排ガス対策型(第3次基準値)」と表示されているが、外部設計と正しいか
・文字修正後の選択肢を選んだとき、代価行・数量・単価が積算基準および設計書どおりであること（文字だけの修正か、内容の変更かを確認）
(モータグレーダ)排ガス機械の選択(選択肢追加)
・「排ガス対策型(2014年規制)」と表示されているが、外部設計と正しいか
(ロードローラ)排ガス機械(工種指定)選択(選択肢追加)
・「排ガス対策型(2014年規制)(※標準) マカダム・10t」と表示されているが、外部設計と正しいか
(タイヤローラ)排ガス機械の選択(選択肢追加)
・「排ガス対策型(2014年規制)」と表示されているが、外部設計と正しいか
・追加された代価表行と数量(数率)が外部設計に沿っているか
・運転費「タイヤローラ運転費」の計上が意図通りか(送り変数の変更 追加:RF,Rd2,NF,Nd2,Nfg2,Sd2,NFG1,NK2)","・混合深さ の規格名計上が意図通りの場所に正しく計上されているか(最長選択肢で検証・文字の欠落がないか)
・養生工 の規格名計上が意図通りの場所に正しく計上されているか(最長選択肢で検証・文字の欠落がないか)"
TC-002,差分,0.2mを超え0.4m以下,計上する,セメント系,「kg」単位の材料単価,任意,有,任意,27,排ガス対策型(第3次基準値),排ガス対策型(2014年規制),-,排ガス対策型(2014年規制),排ガス対策型(2014年規制),0.1428571428571428571428571429,0.4285714285714285714285714287,0.1428571428571428571428571429,0.1428571428571428571428571429,0.1428571428571428571428571429,0.1428571428571428571428571429,0.1428571428571428571428571429,,0.1428571428571428571428571429,0.1428571428571428571428571429,"混合深さ(選択肢文字修正)
・「0.2mを超え0.4m以下」と表示されているが、外部設計と正しいか
・文字修正後の選択肢を選んだとき、代価行・数量・単価が積算基準および設計書どおりであること（文字だけの修正か、内容の変更かを確認）
養生工(選択肢文字修正)
・「27」と表示されているが、外部設計と正しいか
・文字修正後の選択肢を選んだとき、代価行・数量・単価が積算基準および設計書どおりであること（文字だけの修正か、内容の変更かを確認）
(スタビライザ)排ガス機械の選択(選択肢文字修正)
・「排ガス対策型(第3次基準値)」と表示されているが、外部設計と正しいか
・文字修正後の選択肢を選んだとき、代価行・数量・単価が積算基準および設計書どおりであること（文字だけの修正か、内容の変更かを確認）
(モータグレーダ)排ガス機械の選択(選択肢追加)
・「排ガス対策型(2014年規制)」と表示されているが、外部設計と正しいか
(振動ローラ)排ガス機械の選択(選択肢追加)
・「排ガス対策型(2014年規制)」と表示されているが、外部設計と正しいか
・追加された代価表行と数量(数率)が外部設計に沿っているか
・運転費「振動ローラ運転費」の計上が意図通りか(送り変数の変更 追加:cFG,dFG,tFG,RF,Rd2,NF,Sd2,NFG1,NK2,Nd2,Nfg2)","・混合深さ の規格名計上が意図通りの場所に正しく計上されているか(最長選択肢で検証・文字の欠落がないか)
・養生工 の規格名計上が意図通りの場所に正しく計上されているか(最長選択肢で検証・文字の欠落がないか)"
