提案ID,テスト区分,根拠カテゴリ,根拠ID,差分概要,テスト軸,入力値,期待確認内容,備考
P-042,差分,計算表,計算表変数:35,計算表変数「CD:35」削除,任意,任意,「CD:35」を使っていた計算に影響がないこと,削除変数: 
P-043,差分,計算表,計算表変数:40,計算表変数「CD:40」削除,任意,任意,「CD:40」を使っていた計算に影響がないこと,削除変数: 
P-044,差分,計算表,計算表変数:44,計算表変数「CD:44」削除,任意,任意,「CD:44」を使っていた計算に影響がないこと,削除変数: 
P-045,差分,計算表,計算表変数:53,計算表変数「CD:53」削除,任意,任意,「CD:53」を使っていた計算に影響がないこと,削除変数: 
P-046,差分,計算表,計算表変数:57,計算表変数「CD:57」削除,任意,任意,「CD:57」を使っていた計算に影響がないこと,削除変数: 
P-047,差分,計算表,計算表変数:61,計算表変数「CD:61」削除,任意,任意,「CD:61」を使っていた計算に影響がないこと,削除変数: 
P-048,差分,計算表,計算表変数:66,計算表変数「CD:66」削除,任意,任意,「CD:66」を使っていた計算に影響がないこと,削除変数: 
P-049,差分,計算表,計算表変数:70,計算表変数「CD:70」削除,任意,任意,「CD:70」を使っていた計算に影響がないこと,削除変数: 
P-050,差分,計算表,計算表変数:79,計算表変数「CD:79」削除,任意,任意,「CD:79」を使っていた計算に影響がないこと,削除変数: 
P-051,差分,計算表,計算表変数:82,計算表変数「Z1b」削除,任意,任意,「Z1b」を使っていた計算に影響がないこと,削除変数: AT * (t + t2*10 + t3*1000) / 1000*K
P-052,差分,計算表,計算表変数:87,計算表変数「CD:87」削除,任意,任意,「CD:87」を使っていた計算に影響がないこと,削除変数: 
P-053,差分,計算表,計算表変数:105,計算表変数「CD:105」削除,任意,任意,「CD:105」を使っていた計算に影響がないこと,削除変数: 
P-054,差分,計算表,計算表変数:114,計算表変数「CD:114」削除,任意,任意,「CD:114」を使っていた計算に影響がないこと,削除変数: 
P-055,差分,計算表,計算表変数:115,計算表変数「<モルタル練工に送る変数>」削除,任意,任意,「<モルタル練工に送る変数>」を使っていた計算に影響がないこと,削除変数: 
P-056,差分,計算表,計算表変数:116,計算表変数「MIF_5」削除,任意,任意,「MIF_5」を使っていた計算に影響がないこと,削除変数: 1.0
P-057,差分,計算表,計算表変数:117,計算表変数「RK」削除,任意,任意,「RK」を使っていた計算に影響がないこと,削除変数: 2.0
P-058,差分,計算表,計算表変数:118,計算表変数「CD:118」削除,任意,任意,「CD:118」を使っていた計算に影響がないこと,削除変数: 
P-059,差分,計算表,計算表変数:121,計算表変数「 <設置>」削除,任意,任意,「 <設置>」を使っていた計算に影響がないこと,削除変数: 
P-060,差分,計算表,計算表変数:124,計算表変数「 <撤去>」削除,任意,任意,「 <撤去>」を使っていた計算に影響がないこと,削除変数: 
P-061,差分,計算表,計算表変数:130,計算表変数「CD:130」削除,任意,任意,「CD:130」を使っていた計算に影響がないこと,削除変数: 
P-062,差分,計算表,計算表変数:132,計算表変数「zfg」削除,任意,任意,「zfg」を使っていた計算に影響がないこと,削除変数: 
P-063,差分,計算表,計算表変数:150,計算表変数「SFK2」削除,任意,任意,「SFK2」を使っていた計算に影響がないこと,削除変数: 
P-064,差分,計算表,計算表変数:151,計算表変数「SFK2a」削除,任意,任意,「SFK2a」を使っていた計算に影響がないこと,"削除変数: if(sfk2 > 0, sfk2, SFK2)"
P-065,差分,計算表,計算表変数:160,計算表変数「MIF」削除,任意,任意,「MIF」を使っていた計算に影響がないこと,削除変数: 
P-066,差分,計算表,計算表変数:168,計算表変数「CD:168」削除,任意,任意,「CD:168」を使っていた計算に影響がないこと,削除変数: 
P-067,差分,計算表,計算表変数:169,計算表変数「<下位代価に送る変数>」削除,任意,任意,「<下位代価に送る変数>」を使っていた計算に影響がないこと,削除変数: 
