軸ID,軸名,種別,SitsumonNo,列ラベル,変更理由,備考,強制行ID
AX-001,資材計上区分,vary,7,資材計上区分,業務ルール: 資材計上区分の切替が代価表数量に影響,SitsumonKind=19,
AX-002,(クレーン)賃料長期割引の適用,fix,2,(クレーン)賃料長期割引の適用,,SitsumonKind=19,
AX-003,クレーン賃料補正,auto,6,クレーン賃料補正(固定),自動選択(AutoSelectJoken),SitsumonKind=19,
