カテゴリ,変更種別,ID,名称,旧値,新値,備考
代価表,変更,代価表:1,TankaCD:32-1-102-33-176450,バックホウICT建設機械経費,バックホウICT建設機械経費加算額,備考変更
計算表,変更,計算表変数:2,S1,バックホウICT建設機械経費,バックホウICT建設機械経費加算額,名称変更
計算表,変更,計算表変数:5,BK,MC/MGバックホウ技術機械経費,MC/MGバックホウ技術機械経費加算額,名称変更
質問,変更,質問No:1,1日当りのMC/MGバックホウ技術機械経費加算額,1日当りのMC/MGバックホウ技術機械経費,1日当りのMC/MGバックホウ技術機械経費加算額,表示名変更 / バージョン更新
