テストID,テスト区分,賃料損料区分,供用日当り運転時間適用区分,条件選択(固定),特殊規格の補正率有無,特殊規格の基礎価格加減額有無,単価表数値決定方法,適用運転費,1日当り損料又は賃料数量,供用損料に対する補正,数値・規格指定表示区分,数値・規格指定表示区分,選択肢の適切さ確認
TC-001,差分,損料,損料表上の標準のt(=t0)を適用 (3欄/5欄),建設機械 (陸上),補正率なし,加減額なし,表から選択,該当省庁の運転費を適用,0供用日,単価管理で設定した 損料を適用,(値なし),(値なし),
