提案ID,テスト区分,根拠カテゴリ,根拠ID,差分概要,テスト軸,入力値,期待確認内容,備考
P-001,情報,-,-,SF固定値確認,省庁区分,（自動選択）,省庁区分はテストケースの列に含めない,SF固定値→1専用JSON。UIに省庁選択画面は表示されない
P-002,差分,質問,質問No:4,質問「規格選択(損料)」表示名変更,規格選択(損料),任意,質問の表示名が「規格選択(損料)」になっていること,表示名変更: 「規格選択(損料)」→「規格選択(損料)」
P-003,差分,質問,質問No:57,質問「施工歩掛」表示名変更,施工歩掛,任意,質問の表示名が「施工歩掛」になっていること,表示名変更: 「施工歩掛」→「施工歩掛」
P-004,差分,質問,質問No:62,質問「機械・規格・機種・職種・燃料等」表示名変更,機械・規格・機種・職種・燃料等,任意,質問の表示名が「機械・規格・機種・職種・燃料等」になっていること,表示名変更: 「機械・規格・機種・職種・燃料等」→「機械・規格・機種・職種・燃料等」
P-005,差分,選択肢,質問No:4,選択肢「23」追加（質問:「規格選択(損料)」）,規格選択(損料),23,「23」が選択肢に表示され、選択したとき正しく動作すること,新規選択肢の確認
P-006,差分,選択肢,質問No:11,選択肢「(トンネル工事用・排対2次)湿式・R一体型・コンプレッサ搭載・吐出6~22m3・7m級」追加（質問:「損料」）,損料,(トンネル工事用・排対2次)湿式・R一体型・コンプレッサ搭載・吐出6~22m3・7m級,「(トンネル工事用・排対2次)湿式・R一体型・コンプレッサ搭載・吐出6~22m3・7m級」が選択肢に表示され、選択したとき正しく動作すること,新規選択肢の確認
P-007,回帰,-,-,既存パスへの影響なし確認,損料,既存の選択肢,旧バージョンと同じ結果になること,差分テスト軸の既存値での回帰確認
P-008,回帰,-,-,既存パスへの影響なし確認,規格選択(損料),既存の選択肢,旧バージョンと同じ結果になること,差分テスト軸の既存値での回帰確認
