テストID,テスト区分,施工方法,土留方式の種類,障害の有無,施工方法(固定),普通作業員の計上有無判断(固定),適用労務選択方法の切替(固定),労務費の適用,選択肢の適切さ確認
TC-001,新規歩掛,標準,無し,無し,標準,無,-,-,"施工方法(全選択肢網羅)
・「標準」と表示されているが、外部設計と正しいか
土留方式の種類(全選択肢網羅)
・「【A=1】 土留無」と表示されているが、外部設計と正しいか
障害の有無(全選択肢網羅)
・「【B=1】 障害無」と表示されているが、外部設計と正しいか"
TC-002,新規歩掛,標準,自立式,無し,標準,有,普通作業員を適用,普通作業員を適用,"施工方法(全選択肢網羅)
・「標準」と表示されているが、外部設計と正しいか
土留方式の種類(全選択肢網羅)
・「【A=2】 自立式土留」と表示されているが、外部設計と正しいか
障害の有無(全選択肢網羅)
・「【B=1】 障害無」と表示されているが、外部設計と正しいか"
TC-003,新規歩掛,平均施工幅1m以上2m未満,無し,無し,平均施工幅1m以上2m未満,無,-,-,"施工方法(全選択肢網羅)
・「平均施工幅1m以上2m未満」と表示されているが、外部設計と正しいか
土留方式の種類(全選択肢網羅)
・「【A=1】 土留無」と表示されているが、外部設計と正しいか
障害の有無(全選択肢網羅)
・「【B=1】 障害無」と表示されているが、外部設計と正しいか"
TC-004,新規歩掛,平均施工幅1m以上2m未満,自立式,無し,平均施工幅1m以上2m未満,有,普通作業員を適用,普通作業員を適用,"施工方法(全選択肢網羅)
・「平均施工幅1m以上2m未満」と表示されているが、外部設計と正しいか
土留方式の種類(全選択肢網羅)
・「【A=2】 自立式土留」と表示されているが、外部設計と正しいか
障害の有無(全選択肢網羅)
・「【B=1】 障害無」と表示されているが、外部設計と正しいか"
