テストID,テスト区分,条件選択,土質係数(α)(固定),条件選択,施工日数,資材計上区分,継手の有無(材料費+施工費),杭体内補強鉄筋計上区分,10本当り杭体内補強鉄筋数量,(クローラクレーン)排ガス機械の選択,(超低騒音型バックホウ)排ガス機械の選択,期待:S10,期待:S14,選択肢の適切さ確認,規格名計上
TC-001,差分,N<20,土質係数,杭径400≦φ<500mm,L≦16m,材料費+施工費,単杭,計上する,任意,排ガス対策型(第3次基準値),排ガス対策型(2014年規制),計算結果が正しいか,24,"10本当り杭体内補強鉄筋数量(選択肢削除)
・10本当り杭体内補強鉄筋数量（表示される質問）が外部設計と正しいか
・削除された選択肢(0)が表示されないこと
・10本当り杭体内補強鉄筋数量 は 範囲 0 < 値 の値のみ有効。範囲外を入力すると警告が出ること
・追加された代価表行と数量(数率)が外部設計に沿っているか",-
TC-002,差分,N<20,土質係数,杭径400≦φ<500mm,L≦16m,施工費のみ,-,-,-,排ガス対策型(第3次基準値),排ガス対策型(2014年規制),計算結果が正しいか,24,・追加された代価表行と数量(数率)が外部設計に沿っているか,-
TC-003,回帰,N<20,土質係数,杭径400≦φ<500mm,L≦16m,材料費+施工費,単杭,計上する,任意,排ガス対策型(第3次基準値),排ガス対策型(2014年規制),計算結果が正しいか,24,"10本当り杭体内補強鉄筋数量(選択肢削除)
・10本当り杭体内補強鉄筋数量（表示される質問）が外部設計と正しいか
・削除された選択肢(0)が表示されないこと
・資材計上区分 を切り替えた後、最初の選択肢に戻したとき、計算結果が初期状態と一致すること(状態戻し回帰)
・10本当り杭体内補強鉄筋数量 は 範囲 0 < 値 の値のみ有効。範囲外を入力すると警告が出ること
・追加された代価表行と数量(数率)が外部設計に沿っているか",-
