カテゴリ,変更種別,ID,名称,旧値,新値,備考
代価表,変更,DaikaHyoCD:3,ため池堤体盛立工(刃金土・抱土・さや土),m2,m3,当り単位変更
計算表,変更,計算表変数:2,S1,人/100m2,人/100m3,単位変更
計算表,変更,計算表変数:3,S2,人/100m2,人/100m3,単位変更
計算表,変更,計算表変数:4,S3,日/100m2,日/100m3,単位変更
計算表,変更,計算表変数:5,S4,日/100m2,日/100m3,単位変更
