軸ID,軸名,種別,SitsumonNo,列ラベル,変更理由,備考
AX-001,クーリングタワー使用の有無,fix,1,クーリングタワー使用の有無,,SitsumonKind=19
AX-002,空気圧縮機規格選択,fix,2,空気圧縮機規格選択,,SitsumonKind=19
AX-003,空気圧縮機延運転時間(台数分合計),fix,3,空気圧縮機延運転時間(台数分合計),,SitsumonKind=17
AX-004,クーリングタワー延運転時間(台数分合計),vary,4,クーリングタワー延運転時間(台数分合計),選択肢削除,SitsumonKind=17
AX-005,運転日数,vary,5,運転日数,新規追加質問,SitsumonKind=17
AX-006,電力区分(空気圧縮機),fix,11,電力区分(空気圧縮機),,SitsumonKind=19
AX-007,循環水ポンプ延運転時間(台数分合計),fix,21,循環水ポンプ延運転時間(台数分合計),,SitsumonKind=17
