軸ID,軸名,種別,SitsumonNo,列ラベル,変更理由,備考,強制行ID
AX-049,1週当り施工量(m/週),auto,81,1週当り施工量(m/週)(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
AX-050,トンネル世話役,auto,42,トンネル世話役(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
AX-051,トンネル特殊工,auto,46,トンネル特殊工(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
AX-052,トンネル作業員,auto,50,トンネル作業員(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
AX-053,ドリルジャンボ,auto,54,ドリルジャンボ(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
AX-054,大型ブレーカ,auto,58,大型ブレーカ(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
AX-055,機械+鏡吹付の諸雑費,auto,62,機械+鏡吹付の諸雑費(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
AX-056,材料の諸雑費,auto,66,材料の諸雑費(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
AX-057,ホイールローダ,auto,70,ホイールローダ(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
AX-058,コンクリート吹付機,auto,74,コンクリート吹付機(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
AX-059,吹付プラント設備,auto,78,吹付プラント設備(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
AX-060,1週当り施工量(m/週),auto,82,1週当り施工量(m/週)(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
AX-061,0=代価表1枚目14行目,auto,92,0=代価表1枚目14行目(固定),自動確定 (選択肢1件・選択の余地なし),SitsumonKind=19,
AX-062,FG1a=31,auto,85,FG1a=31(固定),自動確定 (選択肢1件・選択の余地なし),SitsumonKind=19,
AX-063,0=代価表1枚目15行目,auto,88,0=代価表1枚目15行目(固定),自動確定 (選択肢1件・選択の余地なし),SitsumonKind=19,
AX-064,FG1a=32.2,auto,84,FG1a=32.2(固定),自動確定 (選択肢1件・選択の余地なし),SitsumonKind=19,
AX-065,0=代価表1枚目11行目,auto,90,0=代価表1枚目11行目(固定),自動確定 (選択肢1件・選択の余地なし),SitsumonKind=19,
