テストID,テスト区分,作業区分,作業内容,資材計上区分,購入土計上区分(固定),土のう種類,期待:S4,期待:S1,期待:S2,期待:S3,選択肢の適切さ確認,規格名計上
TC-001,差分,17,製作・積立,材料費+施工費,計上する,普通,0.34,4.93,3.4,170,"作業内容(選択肢削除)
・「製作・積立」と表示されているが、外部設計と正しいか
・削除された選択肢(仕拵・積立、仕拵・積立・撤去)が表示されないこと
土のう種類(2026年新規追加)
・「普通」と表示されているが、外部設計と正しいか
・追加された代価表行と数量(数率)が外部設計に沿っているか",・土のう種類 の規格名計上が意図通りの場所に正しく計上されているか
TC-002,差分,17,製作・積立,材料費+施工費,計上する,耐候性,0.34,4.93,3.4,170,"作業内容(選択肢削除)
・「製作・積立」と表示されているが、外部設計と正しいか
・削除された選択肢(仕拵・積立、仕拵・積立・撤去)が表示されないこと
土のう種類(2026年新規追加)
・「耐候性」と表示されているが、外部設計と正しいか
・追加された代価表行と数量(数率)が外部設計に沿っているか",・土のう種類 の規格名計上が意図通りの場所に正しく計上されているか
TC-003,差分,17,製作・積立,施工費のみ,-,-,0.34,4.93,3.4,170,"作業内容(選択肢削除)
・「製作・積立」と表示されているが、外部設計と正しいか
・削除された選択肢(仕拵・積立、仕拵・積立・撤去)が表示されないこと
・追加された代価表行と数量(数率)が外部設計に沿っているか",
TC-004,差分,17,撤去,-,-,-,0,2.72,3.4,170,"作業内容(選択肢削除)
・「撤去」と表示されているが、外部設計と正しいか
・削除された選択肢(仕拵・積立、仕拵・積立・撤去)が表示されないこと
・追加された代価表行と数量(数率)が外部設計に沿っているか",
TC-005,回帰,17,製作・積立,材料費+施工費,計上する,普通,0.34,4.93,3.4,170,"作業内容(選択肢削除)
・「製作・積立」と表示されているが、外部設計と正しいか
・削除された選択肢(仕拵・積立、仕拵・積立・撤去)が表示されないこと
土のう種類(2026年新規追加)
・「普通」と表示されているが、外部設計と正しいか
・資材計上区分 を切り替えた後、最初の選択肢に戻したとき、計算結果が初期状態と一致すること(状態戻し回帰)
・追加された代価表行と数量(数率)が外部設計に沿っているか",・土のう種類 の規格名計上が意図通りの場所に正しく計上されているか
