テストID,テスト区分,変更概要,入力条件,期待確認内容,確認方法
TC-001,差分,計算式変更（13件）: 計算表変数「Da」変更、計算表変数「SF」変更、計算表変数「CD:19」変更、計算表変数「<被災地における歩掛補正>」追加、計算表変数「J30」追加、計算表変数「Q~pdk」追加、計算表変数「Q~j32」追加、計算表変数「O~pre」追加、計算表変数「Q~Did」追加、計算表変数「Q~hk2」追加、計算表変数「Q~shk」追加、計算表変数「Q~sh2」追加、計算表変数「D1B」追加,（任意の入力値で確認）,"・「Da」を含む計算結果が正しいこと
・「SF」を含む計算結果が正しいこと
・「CD:19」を含む計算結果が正しいこと
・「<被災地における歩掛補正>」を使う計算結果が正しいこと
・「J30」を使う計算結果が正しいこと
・「Q~pdk」を使う計算結果が正しいこと
・「Q~j32」を使う計算結果が正しいこと
・「O~pre」を使う計算結果が正しいこと
・「Q~Did」を使う計算結果が正しいこと
・「Q~hk2」を使う計算結果が正しいこと
・「Q~shk」を使う計算結果が正しいこと
・「Q~sh2」を使う計算結果が正しいこと
・「D1B」を使う計算結果が正しいこと
変更内容: 固定値→計算式: 630.0→ / 計算式→固定値: 1→1.0 / 計算式: S1→ / 新規変数:  / 新規変数:  / 新規変数:  / 新規変数: if(Q~Did > 0, Q~Did, if(O~pre == 17, 2, 1)) / 新規変数:  / 新規変数:  / 新規変数: if(Q~sh2 > 0, Q~sh2, if(O~pre == 17 , 3, 1)) / 新規変数:  / 新規変数:  / 新規変数: S1",計算値確認
TC-002,差分,選択肢変更（4件）: 日当り施工量,日当り施工量: 日当り施工量(m2/日) / 567（追加された選択肢を確認）,【追加】選択肢「」追加（質問:「日当り施工量」）、選択肢「」追加（質問:「日当り施工量」）、選択肢「日当り施工量(m2/日)」追加（質問:「日当り施工量」）、選択肢「567」追加（質問:「日当り施工量」）,目視確認（選択肢表示）
TC-003,差分,質問追加（3件）,追加された項目を含む操作を実施して確認,"以下が新規追加されていること:
・質問「日当り作業量補正(被災地)」新規追加
・質問「終点」新規追加",目視確認（質問・選択肢表示）
TC-004,差分,質問変更（1件）,変更された項目を含む操作を実施して確認,"以下の変更が正しく反映されていること:
・質問「日当り施工量」表示名変更: 質問の表示名が「日当り施工量」になっていること",目視確認（質問・選択肢表示）
TC-005,差分,フロー追加（2件）,追加された項目を含む操作を実施して確認,"以下が新規追加されていること:
・フロー「日当り施工量」追加（BoxNo:2）
・フロー「終点」追加（BoxNo:4）",フロー遷移確認
TC-006,差分,フロー変更（1件）,変更された項目を含む操作を実施して確認,"以下の変更が正しく反映されていること:
・フロー「日当り作業量補正(被災地)」変更（BoxNo:3）: 「日当り作業量補正(被災地)」の遷移先が正しいこと",フロー遷移確認
TC-007,回帰,既存パスへの影響なし確認,日当り作業量補正(被災地): （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-008,回帰,既存パスへの影響なし確認,日当り施工量: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-009,回帰,既存パスへの影響なし確認,終点: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
