テストID,テスト区分,代価表単位の選択(固定),代価表の当り数量(固定),資材計上区分,鉄筋材料規格・径,鉄筋材料区分(固定),鉄筋材料費の単位選択,(クレーン)賃料長期割引の適用,クレーン賃料補正(固定),期待:S1,期待:S2,期待:S3,期待:S4,期待:S_ZR,期待:S5,選択肢の適切さ確認,規格名計上
TC-001,差分,t当り代価表,1当り代価表,施工費+材料費,SD295・D10,大口,「t」単位の鉄筋材料単価,長期割引あり,標準,0.2,2.3,0.2,0.04,1.03,12,"・【外部条件 O~Sep=11_基本の表】の分岐挙動が外部設計どおりか（今回追加/変更された経路）
資材計上区分(選択肢文字修正)
・「施工費+材料費」と表示されているが、外部設計と正しいか
鉄筋材料規格・径(選択肢文字修正)
・「SD295・D10」と表示されているが、外部設計と正しいか","・鉄筋材料規格・径 の規格名計上が意図通りの場所に正しく計上されているか(最長選択肢で検証・文字の欠落がないか)
・鉄筋径(選択肢文字修正・自動確定) の規格名計上が意図通りの場所に正しく計上されているか(文字の欠落がないか)"
TC-002,差分,t当り代価表,1当り代価表,施工費のみ,SD295・D10,-,-,長期割引あり,標準,0.2,2.3,0.2,0.04,0,12,"・【外部条件 O~Sep=11_基本の表】の分岐挙動が外部設計どおりか（今回追加/変更された経路）
資材計上区分(選択肢文字修正)
・「施工費のみ」と表示されているが、外部設計と正しいか",・鉄筋径(選択肢文字修正・自動確定) の規格名計上が意図通りの場所に正しく計上されているか(文字の欠落がないか)
