軸ID,軸名,種別,SitsumonNo,列ラベル,変更理由,備考,強制行ID
AX-001,既設管径,fix,2,既設管径,,SitsumonKind=19,
AX-002,更生延長(70m以下),fix,3,更生延長(70m以下),,SitsumonKind=17,
AX-003,作業区分,fix,1,作業区分,,SitsumonKind=19,
