テストID,テスト区分,変更概要,入力条件,期待確認内容,確認方法
TC-001,差分,代価表「TankaCD:32-1-102-33-192883」備考変更,（任意の入力値で確認）,代価表「TankaCD:32-1-102-33-192883」の備考が「船団長」になっていること（目視確認）,目視確認（行数・備考）
TC-002,差分,代価表「TankaCD:32-1-102-33-193257」追加,（任意の入力値で確認）,代価表「TankaCD:32-1-102-33-193257」が1行で表示されること（目視確認）,目視確認（行数・備考）
TC-003,差分,代価表「TankaCD:32-1-102-33-193257」追加,（任意の入力値で確認）,代価表「TankaCD:32-1-102-33-193257」が1行で表示されること（目視確認）,目視確認（行数・備考）
TC-004,差分,代価表「TankaCD:32-1-102-33-193257」追加,（任意の入力値で確認）,代価表「TankaCD:32-1-102-33-193257」が1行で表示されること（目視確認）,目視確認（行数・備考）
TC-005,差分,計算式変更（21件）: 計算表変数「R~Syo」変更、計算表変数「<内部変数>」変更、計算表変数「C」変更、計算表変数「PNo」変更、計算表変数「LF1」変更、計算表変数「k」変更、計算表変数「shkt」変更、計算表変数「D1R」変更、計算表変数「D1T」変更、計算表変数「D2R」変更、計算表変数「D3R」変更、計算表変数「D4R」変更、計算表変数「D4T」変更、計算表変数「D5R」変更、計算表変数「D6R」変更、計算表変数「D7T」変更、計算表変数「D10R」変更、計算表変数「D11R」追加、計算表変数「D12R」追加、計算表変数「D13T」追加、計算表変数「ASVar」追加,（任意の入力値で確認）,"・「R~Syo」を含む計算結果が正しいこと
・「<内部変数>」を含む計算結果が正しいこと
・「C」を含む計算結果が正しいこと
・「PNo」を含む計算結果が正しいこと
・「LF1」を含む計算結果が正しいこと
・「k」を含む計算結果が正しいこと
・「shkt」を含む計算結果が正しいこと
・「D1R」を含む計算結果が正しいこと
・「D1T」を含む計算結果が正しいこと
・「D2R」を含む計算結果が正しいこと
・「D3R」を含む計算結果が正しいこと
・「D4R」を含む計算結果が正しいこと
・「D4T」を含む計算結果が正しいこと
・「D5R」を含む計算結果が正しいこと
・「D6R」を含む計算結果が正しいこと
・「D7T」を含む計算結果が正しいこと
・「D10R」を含む計算結果が正しいこと
・「D11R」を使う計算結果が正しいこと
・「D12R」を使う計算結果が正しいこと
・「D13T」を使う計算結果が正しいこと
（他1件）
変更内容: 計算式→固定値: →200.0 / 計算式: @1→ / 計算式: if(K < 1, 1,if(K2 < 2, 1, 2))→ / 計算式: →@1 / 計算式: K'*k→if(K < 1, 1,if(K2 < 2, 1, 2)) / 計算式: KOU→ / 計算式: K1'*k→ / 計算式: K2'*k→K'*k / 計算式: K'*SYU*C*k→KOU / 計算式: H~Shu→K1'*k / 計算式: K1'*SYU*C*k→K2'*k / 計算式: K2'*SYU*C*k→K'*SYU*C*k / 計算式: T~Shu→H~Shu / 計算式: K'*(SYU+C)*k→K1'*SYU*C*k / 計算式: K1'*(SYU+C)*k→K2'*SYU*C*k / 計算式: K2'*(SYU+C)*k→T~Shu / 固定値→計算式: 1.0→K'*(SYU+C)*k / 新規変数: K1'*(SYU+C)*k / 新規変数: K2'*(SYU+C)*k / 新規変数: R~Syo / 新規変数: 1.0",計算値確認
