施工区分/入力条件,G1,G2,G3,G4
各種(条件名),作業区分,作業内容,資材計上区分,購入土計上区分
,①小口並べ,①仕拵・積立・撤去,①材料費+施工費,①計上する
,②側面並べ,②仕拵・積立,②施工費のみ,②計上しない
,,③撤去,,

(注)
,1. G2条件「作業内容」で③「撤去」を選択した場合は、G3条件「資材計上区分」・G4条件「購入土計上区分」 を入力する必要はない。
,2. G3条件「資材計上区分」で②「施工費のみ」を選択した場合は、G4条件「購入土計上区分」 を入力する必要はない。
