テストID,テスト区分,作業区分,機械質量区分,(ラフテレーンクレーン)賃料長期割引の適用,クレーン賃料補正(固定),期待:S1a,期待:S2,期待:S5,期待:S3a,期待:S6a,期待:S4a,選択肢の適切さ確認,規格名計上
TC-001,回帰,分解組立,ブルドーザ 通称20t級以上21t級以下,長期割引あり,標準,2.8,2.1,0,0,0,21,"機械質量区分(選択肢文字修正)
・「ブルドーザ 通称20t級以上21t級以下」と表示されているが、外部設計と正しいか
・文字修正後の選択肢を選んだとき、代価行・数量・単価が積算基準および設計書どおりであること（文字だけの修正か、内容の変更かを確認）
・追加された代価表行と数量(数率)が外部設計に沿っているか",・機械区分(選択肢文字修正・自動確定) の規格名計上が意図通りの場所に正しく計上されているか(文字の欠落がないか)
TC-002,回帰,分解組立,オールケーシング掘削機 スキッド式 クローラクレーン[油圧駆動式ウインチ・ラチスジブ型・基礎工事用・排出ガス対策型(2014年規制)] 最大吊上能力70~90吊,-,-,4.9,0,11.9,0,0,4,"機械質量区分(選択肢文字修正)
・「オールケーシング掘削機 スキッド式 クローラクレーン[油圧駆動式ウインチ・ラチスジブ型・基礎工事用・排出ガス対策型(2014年規制)] 最大吊上能力70~90吊」と表示されているが、外部設計と正しいか
・文字修正後の選択肢を選んだとき、代価行・数量・単価が積算基準および設計書どおりであること（文字だけの修正か、内容の変更かを確認）
・追加された代価表行と数量(数率)が外部設計に沿っているか",・機械区分(選択肢文字修正・自動確定) の規格名計上が意図通りの場所に正しく計上されているか(文字の欠落がないか)
