提案ID,テスト区分,根拠カテゴリ,根拠ID,差分概要,テスト軸,入力値,期待確認内容,備考
P-001,情報,-,-,SF固定値確認,省庁区分,（自動選択）,省庁区分はテストケースの列に含めない,SF固定値→1専用JSON。UIに省庁選択画面は表示されない
P-002,差分,質問,質問No:12,質問「損料・油圧式・排対2014年規制」新規追加,損料・油圧式・排対2014年規制,(排対2014年規制)油圧式1300kg級 ベースマシン20t級,「(排対2014年規制)油圧式1300kg級 ベースマシン20t級」を選択したとき正しく動作すること,新規追加質問の各選択肢を確認
P-003,差分,選択肢,質問No:82,選択肢「1300」追加（質問:「規格選択(損料・油圧式)」）,規格選択(損料・油圧式),1300,「1300」が選択肢に表示され、選択したとき正しく動作すること,新規選択肢の確認
P-004,差分,フロー,BoxNo:139,フロー「規格選択(損料・油圧式)」変更（BoxNo:139）,規格選択(損料・油圧式),（表示された質問に回答）,「規格選択(損料・油圧式)」の遷移先が正しいこと,"フロー変更: 質問No:82 CallBox:[124, 136, 13, 50]→質問No:82 CallBox:[124, 136, 13, 50, 106]"
P-005,差分,フロー,BoxNo:106,フロー「損料・油圧式・排対2014年規制」追加（BoxNo:106）,損料・油圧式・排対2014年規制,（表示された質問に回答）,「損料・油圧式・排対2014年規制」を経由後「運転日当り運転時間適用区分」へ遷移すること,フロー追加の遷移確認
P-006,回帰,-,-,既存パスへの影響なし確認,損料・油圧式・排対2014年規制,既存の選択肢,旧バージョンと同じ結果になること,差分テスト軸の既存値での回帰確認
P-007,回帰,-,-,既存パスへの影響なし確認,規格選択(損料・油圧式),既存の選択肢,旧バージョンと同じ結果になること,差分テスト軸の既存値での回帰確認
